anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2016,8,32677,0.04,0.61,0.23,6.349,34.28,Noruega,Invierno,0.88,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,112
2016,9,32677,0.02,0.94,0.12,6.076,34.262,Noruega,Invierno,1.08,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,113
2016,10,32677,0.06,1.09,0.23,6.027,34.236,Noruega,Invierno,1.38,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,114
2016,11,32677,0.09,0.67,0.24,6.301,34.22,Noruega,Invierno,1.0,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,115
2016,12,32677,0.08,0.75,0.41,6.222,34.219,Noruega,Invierno,1.24,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,116
2016,13,32677,0.12,0.71,0.06,6.395,34.162,Noruega,Invierno,0.8899999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,117
2016,14,32677,0.16,1.32,0.18,6.632,34.187,Noruega,Primavera,1.66,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,118
2016,15,32677,0.19,1.15,0.08,6.726,34.209,Noruega,Primavera,1.42,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,119
2016,16,32677,0.11,0.78,0.12,6.731,34.264,Noruega,Primavera,1.01,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,120
2016,17,32677,0.0,0.32,0.02,6.941,34.316,Noruega,Primavera,0.34,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,121
2016,18,32677,0.02,0.36,0.02,7.346,34.11,Noruega,Primavera,0.4,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,122
2016,19,32677,0.05,0.25,0.01,7.811,34.066,Noruega,Primavera,0.31,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,123
2016,20,32677,0.08,0.29,0.11,7.987,34.015,Noruega,Primavera,0.48,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,124
2016,21,32677,0.02,0.25,0.09,9.046,33.948,Noruega,Primavera,0.36,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,125
2016,22,32677,0.03,0.42,0.16,9.715,33.447,Noruega,Primavera,0.61,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,126
2016,23,32677,0.03,0.31,0.11,9.996,32.974,Noruega,Primavera,0.4499999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,127
2016,24,32677,0.05,0.89,1.45,10.061,32.713,Noruega,Primavera,2.39,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,128
2016,25,32677,0.14,1.65,0.7,10.349,32.757,Noruega,Primavera,2.49,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,129
2016,26,32677,0.21,2.47,0.29,11.342,33.104,Noruega,Primavera,2.97,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,130
2016,27,32677,0.41,2.07,0.12,12.066,33.51,Noruega,Verano,2.6,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,131
2016,28,32677,0.38,1.25,1.99,13.136,33.626,Noruega,Verano,3.62,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,132
2016,29,32677,0.3,1.64,1.46,14.152,33.603,Noruega,Verano,3.4,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,133
2016,30,32677,0.33,1.62,1.02,14.992,33.473,Noruega,Verano,2.97,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,134
2016,31,32677,0.43,3.32,0.21,15.184,33.077,Noruega,Verano,3.96,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,135
2016,32,32677,1.33,2.92,0.07,14.29,32.484,Noruega,Verano,4.32,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,136
2016,33,32677,0.12,0.16,0.24,14.586,32.255,Noruega,Verano,0.52,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,137
2016,34,32677,0.28,3.14,4.47,14.85,32.148,Noruega,Verano,7.89,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,138
2016,35,32677,0.16,3.45,1.47,14.134,32.107,Noruega,Verano,5.08,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,139
2016,36,32677,3.52,5.01,0.26,13.831,32.0,Noruega,Verano,8.79,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,140
2016,37,32677,0.14,0.21,0.1,13.894,32.103,Noruega,Verano,0.4499999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,141
2016,38,32677,0.11,0.21,0.29,14.47,32.394,Noruega,Verano,0.61,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,142
2016,39,32677,0.2,1.18,0.01,14.496,32.608,Noruega,Verano,1.39,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,143
2016,40,32677,0.2,1.41,0.29,13.7,32.639,Noruega,Otoño,1.9,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,144
2016,41,32677,0.09,0.66,0.13,12.933,32.422,Noruega,Otoño,0.88,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,145
2016,42,32677,0.1,0.79,0.08,12.399,32.437,Noruega,Otoño,0.97,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,146
2016,43,32677,0.26,5.83,4.89,12.035,32.283,Noruega,Otoño,10.98,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,147
2016,44,32677,0.1,3.37,0.85,11.506,32.256,Noruega,Otoño,4.32,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,148
2016,45,32677,0.26,3.32,0.15,9.906,32.403,Noruega,Otoño,3.73,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,149
