anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2015,16,110758,1.35,2.22,1.08,12.157,33.23,Chile,Otoño,4.65,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,68
2015,17,110758,1.42,2.63,1.55,11.661,33.297,Chile,Otoño,5.6,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,69
2015,18,110758,2.53,3.35,4.93,11.74,33.233,Chile,Otoño,10.81,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,70
2015,19,110758,4.9,5.5,4.03,11.121,33.285,Chile,Otoño,14.43,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,71
2015,20,110758,2.85,5.8,5.88,11.258,33.227,Chile,Otoño,14.53,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,72
2015,21,110758,9.2,7.07,4.88,11.119,33.295,Chile,Otoño,21.15,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,73
2015,22,110758,9.5,7.85,5.8,10.693,33.251,Chile,Otoño,23.15,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,74
2015,23,110758,0.03,0.0,0.1,10.609,33.183,Chile,Otoño,0.13,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,75
2015,24,110758,0.1,0.03,0.98,10.318,33.134,Chile,Otoño,1.11,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,76
2015,25,110758,0.57,0.4,0.65,10.018,33.189,Chile,Otoño,1.62,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,77
2015,26,110758,0.7,0.85,1.0,9.764,33.188,Chile,Otoño,2.55,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,78
2015,27,110758,0.15,0.57,1.2,9.496,33.179,Chile,Invierno,1.92,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,79
2015,28,110758,1.0,1.85,1.17,9.312,33.152,Chile,Invierno,4.02,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,80
2015,29,110758,1.3,1.73,0.77,9.069,33.181,Chile,Invierno,3.8,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,81
2015,30,110758,1.25,2.2,1.92,8.961,33.152,Chile,Invierno,5.37,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,82
2015,31,110758,0.98,1.35,1.42,9.259,33.168,Chile,Invierno,3.75,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,83
2015,32,110758,1.45,1.25,1.38,9.356,33.204,Chile,Invierno,4.08,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,84
2015,33,110758,1.3,0.75,2.9,9.165,33.082,Chile,Invierno,4.949999999999999,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,85
2015,34,110758,1.15,1.1,0.82,9.127,33.109,Chile,Invierno,3.07,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,86
