año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2020,47,102424,NA,NA,NA
2020,48,102424,NA,NA,NA
2020,49,102424,NA,NA,NA
2020,50,102424,NA,NA,NA
2020,51,102424,NA,NA,NA
2020,52,102424,NA,NA,NA
2021,1,102424,NA,NA,NA
2021,2,102424,NA,NA,NA
2021,3,102424,NA,NA,NA
2021,4,102424,NA,NA,NA
2021,5,102424,NA,NA,NA
2021,6,102424,NA,NA,NA
2021,7,102424,NA,NA,NA
2021,8,102424,NA,NA,NA
2021,9,102424,NA,NA,NA
2021,10,102424,NA,NA,NA
2021,11,102424,NA,NA,NA
2021,12,102424,NA,NA,NA
2021,13,102424,NA,NA,NA
2021,14,102424,NA,NA,NA
2021,15,102424,1.27,1.95,0.35
2021,16,102424,1.25,1.58,0.52
2021,17,102424,1.4,1.73,0.45
2021,18,102424,2.15,1.83,0.3
2021,19,102424,2.5,2.15,0.3
2021,20,102424,1.9,2.0,0.6
2021,21,102424,1.8,2.3,0.5
2021,22,102424,1.7,2.1,0.4
2021,23,102424,NA,NA,NA
2021,24,102424,NA,NA,NA
2021,25,102424,NA,NA,NA
2021,26,102424,NA,NA,NA
2021,27,102424,NA,NA,NA
2021,28,102424,NA,NA,NA
2021,29,102424,NA,NA,NA
2021,30,102424,NA,NA,NA
2021,31,102424,NA,NA,NA
2021,32,102424,NA,NA,NA
2021,33,102424,NA,NA,NA
2021,34,102424,NA,NA,NA
2021,35,102424,NA,NA,NA
2021,36,102424,NA,NA,NA
2021,37,102424,NA,NA,NA
2021,38,102424,NA,NA,NA
2021,39,102424,NA,NA,NA
2021,40,102424,NA,NA,NA
2021,41,102424,NA,NA,NA
2021,42,102424,NA,NA,NA
2021,43,102424,NA,NA,NA
2021,44,102424,NA,NA,NA
2021,45,102424,0.0,0.0,0.0
2021,46,102424,0.0,0.0,0.17
2021,47,102424,0.03,0.08,0.32
2021,48,102424,0.05,0.17,0.05
2021,49,102424,0.32,0.43,0.22
2021,50,102424,0.43,0.45,0.35
2021,51,102424,0.82,0.47,0.32
2021,52,102424,0.77,0.45,0.28
2022,1,102424,0.88,0.65,0.25
2022,2,102424,1.13,0.68,0.3
2022,3,102424,1.6,1.0,0.35
2022,4,102424,1.38,1.45,0.68
2022,5,102424,1.15,1.27,0.7
2022,6,102424,1.73,1.4,0.47
2022,7,102424,1.98,1.33,0.45
2022,8,102424,1.95,1.63,0.32
2022,9,102424,2.8,2.1,0.25
2022,10,102424,2.42,1.83,0.37
2022,11,102424,2.4,1.95,0.38
2022,12,102424,0.33,0.58,0.1
2022,13,102424,0.2,0.28,0.12
2022,14,102424,0.22,0.33,0.13
2022,15,102424,0.2,0.28,0.33
2022,16,102424,0.42,0.58,0.25
2022,17,102424,0.9,1.42,0.35
2022,18,102424,0.87,1.15,0.4
2022,19,102424,1.1,1.28,0.4
2022,20,102424,1.23,1.57,0.48
2022,21,102424,1.35,1.95,0.5
2022,22,102424,1.6,1.75,0.57
2022,23,102424,1.7,1.8,0.65
2022,24,102424,1.92,2.87,0.75
2022,25,102424,2.03,1.85,1.1
2022,26,102424,2.18,1.98,1.17
2022,27,102424,2.25,2.17,1.1
2022,28,102424,2.63,2.98,1.02
2022,29,102424,2.9,3.67,0.9
2022,30,102424,3.68,3.43,1.13
2022,31,102424,3.77,3.63,1.43
2022,32,102424,3.8,3.73,1.45
2022,33,102424,4.15,3.28,0.72
2022,34,102424,4.23,3.55,1.33
2022,35,102424,4.02,3.65,2.0
2022,36,102424,3.8,4.07,1.2
2022,37,102424,2.93,3.9,1.33
2022,38,102424,2.97,3.13,1.78
2022,39,102424,2.73,3.17,1.87
2022,40,102424,2.82,3.2,1.75
2022,41,102424,2.9,3.22,1.62
2022,42,102424,2.85,3.2,1.95
2022,43,102424,NA,NA,NA
2022,44,102424,NA,NA,NA
2022,45,102424,NA,NA,NA
2022,46,102424,NA,NA,NA
2022,47,102424,NA,NA,NA
2022,48,102424,NA,NA,NA
2022,49,102424,NA,NA,NA
2022,50,102424,NA,NA,NA
2022,51,102424,NA,NA,NA
2022,52,102424,NA,NA,NA
2023,1,102424,NA,NA,NA
2023,2,102424,NA,NA,NA
2023,3,102424,NA,NA,NA
2023,4,102424,NA,NA,NA
2023,5,102424,NA,NA,NA
2023,6,102424,NA,NA,NA
2023,7,102424,NA,NA,NA
2023,8,102424,NA,NA,NA
2023,9,102424,NA,NA,NA
2023,10,102424,NA,NA,NA
2023,11,102424,NA,NA,NA
2023,12,102424,NA,NA,NA
2023,13,102424,NA,NA,NA
2023,14,102424,NA,NA,NA
2023,15,102424,NA,NA,NA
2023,16,102424,NA,NA,NA
2023,17,102424,NA,NA,NA
2023,18,102424,NA,NA,NA
2023,19,102424,NA,NA,NA
2023,20,102424,NA,NA,NA
2023,21,102424,NA,NA,NA
2023,22,102424,NA,NA,NA
2023,23,102424,NA,NA,NA
2023,24,102424,NA,NA,NA
2023,25,102424,NA,NA,NA
2023,26,102424,NA,NA,NA
2023,27,102424,NA,NA,NA
2023,28,102424,NA,NA,NA
2023,29,102424,NA,NA,NA
2023,30,102424,NA,NA,NA
2023,31,102424,NA,NA,NA
2023,32,102424,NA,NA,NA
2023,33,102424,NA,NA,NA
2023,34,102424,NA,NA,NA
2023,35,102424,NA,NA,NA
2023,36,102424,NA,NA,NA
2023,37,102424,NA,NA,NA
2023,38,102424,NA,NA,NA
2023,39,102424,NA,NA,NA
2023,40,102424,NA,NA,NA
2023,41,102424,NA,NA,NA
2023,42,102424,NA,NA,NA
2023,43,102424,NA,NA,NA
2023,44,102424,NA,NA,NA
2023,45,102424,0.0,0.0,0.2
2023,46,102424,0.0,0.0,0.22
2023,47,102424,0.5,1.68,1.12
2023,48,102424,0.8,1.63,1.15
2023,49,102424,2.2,1.87,0.87
2023,50,102424,2.43,1.92,1.0
