año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2019,29,32677,,,
2019,30,32677,,,
2019,31,32677,,,
2019,32,32677,,,
2019,33,32677,,,
2019,34,32677,0.0,0.0,0.0
2019,35,32677,0.0,0.0,0.0
2019,36,32677,0.0,0.0,0.35
2019,37,32677,0.0,0.02,0.01
2019,38,32677,0.0,0.06,1.51
2019,39,32677,0.0,0.73,0.08
2019,40,32677,0.0,0.88,0.49
2019,41,32677,0.08,0.45,0.46
2019,42,32677,0.06,0.66,0.68
2019,43,32677,0.07,1.48,0.11
2019,44,32677,0.04,0.75,0.09
2019,45,32677,0.22,1.07,0.06
2019,46,32677,0.14,0.7,0.12
2019,47,32677,0.18,0.76,0.03
2019,48,32677,0.16,0.64,0.06
2019,49,32677,0.13,0.49,0.14
2019,50,32677,0.14,0.76,0.08
2019,51,32677,0.15,0.89,0.03
2019,52,32677,0.15,0.67,0.07
2020,1,32677,0.19,0.42,0.05
2020,2,32677,0.1,0.58,0.02
2020,3,32677,0.21,0.49,0.06
2020,4,32677,0.18,0.51,0.08
2020,5,32677,0.22,0.62,0.06
2020,6,32677,0.12,0.62,0.04
2020,7,32677,0.17,0.74,0.02
2020,8,32677,0.13,0.43,0.08
2020,9,32677,0.21,0.49,0.07
2020,10,32677,0.18,0.53,0.18
2020,11,32677,0.16,0.65,0.25
2020,12,32677,0.13,0.69,0.28
2020,13,32677,0.19,0.9,0.22
2020,14,32677,0.15,0.81,0.09
2020,15,32677,0.08,0.95,0.21
2020,16,32677,0.17,0.86,0.16
2020,17,32677,0.15,1.25,0.09
2020,18,32677,0.26,0.87,0.07
2020,19,32677,0.19,0.71,0.14
2020,20,32677,0.19,0.65,0.05
2020,21,32677,0.26,0.55,0.09
2020,22,32677,0.26,0.56,0.15
2020,23,32677,0.17,0.34,0.06
2020,24,32677,0.16,0.46,0.69
2020,25,32677,0.15,1.0,0.23
2020,26,32677,0.16,1.76,1.23
2020,27,32677,0.21,4.2,0.87
2020,28,32677,0.28,1.93,1.24
2020,29,32677,0.25,2.09,1.53
2020,30,32677,0.33,2.8,0.71
2020,31,32677,0.25,1.63,0.21
2020,32,32677,0.45,1.05,1.62
2020,33,32677,0.48,1.76,1.91
2020,34,32677,0.47,1.34,1.02
2020,35,32677,0.72,2.49,1.02
2020,36,32677,0.92,2.86,1.01
2020,37,32677,1.07,3.42,1.08
2020,38,32677,1.68,6.65,4.29
2020,39,32677,0.38,0.89,0.2
2020,40,32677,0.25,1.18,1.36
2020,41,32677,0.39,2.7,0.69
2020,42,32677,0.44,11.3,4.04
2020,43,32677,,,
2020,44,32677,,,
2020,45,32677,,,
2020,46,32677,,,
2020,47,32677,,,
2020,48,32677,,,
2020,49,32677,,,
2020,50,32677,,,
2020,51,32677,,,
2020,52,32677,,,
2021,1,32677,,,
2021,2,32677,,,
2021,3,32677,,,
2021,4,32677,,,
2021,5,32677,,,
2021,6,32677,,,
2021,7,32677,,,
2021,8,32677,,,
2021,9,32677,,,
2021,10,32677,,,
2021,11,32677,,,
2021,12,32677,,,
2021,13,32677,,,
2021,14,32677,,,
2021,15,32677,,,
2021,16,32677,,,
2021,17,32677,,,
2021,18,32677,,,
2021,19,32677,,,
2021,20,32677,,,
2021,21,32677,,,
2021,22,32677,,,
2021,23,32677,0.0,0.0,0.0
2021,24,32677,0.0,0.0,0.02
2021,25,32677,0.0,0.01,1.24
2021,26,32677,0.0,1.76,0.31
2021,27,32677,0.0,1.85,0.22
2021,28,32677,0.18,0.49,0.25
2021,29,32677,0.05,1.11,0.42
2021,30,32677,0.07,0.85,0.51
2021,31,32677,0.08,2.95,0.33
2021,32,32677,0.48,2.65,1.59
2021,33,32677,0.17,2.31,0.44
2021,34,32677,0.41,1.11,0.21
2021,35,32677,0.14,0.36,0.14
2021,36,32677,0.2,0.57,0.14
2021,37,32677,0.14,1.12,0.4
2021,38,32677,0.2,1.5,0.51
2021,39,32677,0.1,2.33,1.32
2021,40,32677,0.14,3.69,0.46
2021,41,32677,0.11,0.74,0.13
2021,42,32677,0.19,0.49,0.09
2021,43,32677,0.2,0.47,0.06
2021,44,32677,0.15,0.26,0.04
2021,45,32677,0.11,0.42,0.11
2021,46,32677,0.21,0.68,0.03
2021,47,32677,0.11,0.52,0.09
2021,48,32677,0.26,0.7,0.08
