pais,zona,localidad,localidad_id,anio,semana,estacion,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Magallanes,120128,120128,2024,2,Verano,2024.0,3.0,14.98,15.28,7.724421349206351,14.98,7.555578650793648,7.555578650793648
Chile,Magallanes,120128,120128,2024,3,Verano,2024.0,4.0,15.28,6.409999999999999,7.370495158730162,15.28,-0.9604951587301631,0.9604951587301631
Chile,Magallanes,120128,120128,2024,4,Verano,2024.0,5.0,6.409999999999999,29.99,5.760979113756613,6.409999999999999,24.229020886243386,24.229020886243386
Chile,Magallanes,120128,120128,2024,5,Verano,2024.0,6.0,29.99,7.31,11.698469007936508,29.99,-4.388469007936508,4.388469007936508
Chile,Magallanes,120128,120128,2024,6,Verano,2024.0,7.0,7.31,7.78,6.5715044047619,7.31,1.2084955952381007,1.2084955952381007
Chile,Magallanes,120128,120128,2024,7,Verano,2024.0,8.0,7.78,7.5,7.9966333068783095,7.78,-0.49663330687830953,0.49663330687830953
Chile,Magallanes,120128,120128,2024,8,Verano,2024.0,9.0,7.5,7.32,6.818888849206346,7.5,0.5011111507936539,0.5011111507936539
Chile,Magallanes,120128,120128,2024,9,Verano,2024.0,10.0,7.32,11.75,6.618550436507932,7.32,5.131449563492068,5.131449563492068
Chile,Magallanes,120128,120128,2024,10,Verano,2024.0,11.0,11.75,18.88,7.149822499999997,11.75,11.730177500000002,11.730177500000002
Chile,Magallanes,120128,120128,2024,11,Verano,2024.0,12.0,18.88,13.93,8.39591464285714,18.88,5.53408535714286,5.53408535714286
Chile,Magallanes,120128,120128,2024,12,Verano,2024.0,13.0,13.93,6.879999999999999,7.7941190476190485,13.93,-0.9141190476190495,0.9141190476190495
Chile,Magallanes,120128,120128,2024,13,Verano,2024.0,14.0,6.879999999999999,5.35,6.680116042568541,6.879999999999999,-1.330116042568541,1.330116042568541
Chile,Magallanes,120128,120128,2024,14,Otoño,2024.0,15.0,5.35,8.45,6.31448987734488,5.35,2.135510122655119,2.135510122655119
Chile,Magallanes,120128,120128,2024,15,Otoño,2024.0,16.0,8.45,9.23,7.995862628667628,8.45,1.2341373713323724,1.2341373713323724
Chile,Magallanes,120128,120128,2024,16,Otoño,2024.0,17.0,9.23,12.14,9.002115062530061,9.23,3.1378849374699396,3.1378849374699396
Chile,Magallanes,120128,120128,2024,17,Otoño,2024.0,18.0,12.14,7.71,8.889086917989415,12.14,-1.179086917989415,1.179086917989415
Chile,Magallanes,120128,120128,2024,18,Otoño,2024.0,19.0,7.71,8.649999999999999,8.379691746031751,7.71,0.2703082539682473,0.2703082539682473
Chile,Magallanes,120128,120128,2024,19,Otoño,2024.0,20.0,8.649999999999999,16.35,9.492887857142854,8.649999999999999,6.857112142857147,6.857112142857147
Chile,Magallanes,120128,120128,2024,20,Otoño,2024.0,21.0,16.35,16.43,14.492639298941794,16.35,1.9373607010582052,1.9373607010582052
Chile,Magallanes,120128,120128,2024,21,Otoño,2024.0,22.0,16.43,4.63,13.706096957671962,16.43,-9.076096957671961,9.076096957671961
Chile,Magallanes,120128,120128,2024,22,Otoño,2024.0,23.0,4.63,6.25,7.370947870370369,4.63,-1.1209478703703688,1.1209478703703688
Chile,Magallanes,120128,120128,2024,23,Otoño,2024.0,24.0,6.25,6.379999999999999,8.527676292688795,6.25,-2.1476762926887965,2.1476762926887965
Chile,Magallanes,120128,120128,2024,24,Otoño,2024.0,25.0,6.379999999999999,10.08,7.953049943482447,6.379999999999999,2.126950056517553,2.126950056517553
Chile,Magallanes,120128,120128,2024,25,Otoño,2024.0,26.0,10.08,19.24,10.411172222222216,10.08,8.828827777777782,8.828827777777782
Chile,Magallanes,120128,120128,2024,26,Otoño,2024.0,27.0,19.24,26.380000000000003,16.42606822751322,19.24,9.953931772486783,9.953931772486783
Chile,Magallanes,120128,120128,2024,27,Invierno,2024.0,28.0,26.380000000000003,42.21,18.611057354497344,26.380000000000003,23.598942645502657,23.598942645502657
Chile,Magallanes,120128,120128,2024,28,Invierno,2024.0,29.0,42.21,13.28,18.726417354497332,42.21,-5.446417354497333,5.446417354497333
Chile,Magallanes,120128,120128,2024,29,Invierno,2024.0,30.0,13.28,24.23,11.647204748677241,13.28,12.582795251322759,12.582795251322759
