pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Aysén,110758,2024,23,2024.0,24.0,2.85,3.32,2.9614287003968234,0.35857129960317646,0.35857129960317646
Chile,Aysén,110758,2024,24,2024.0,25.0,3.32,5.6,3.382889692460316,2.217110307539684,2.217110307539684
Chile,Aysén,110758,2024,25,2024.0,26.0,5.6,4.1,4.949038630952386,-0.8490386309523865,0.8490386309523865
Chile,Aysén,110758,2024,26,2024.0,27.0,4.1,0.99,4.957532147817471,-3.9675321478174705,3.9675321478174705
Chile,Aysén,110758,2024,27,2024.0,28.0,0.99,1.62,3.2183116517857173,-1.5983116517857172,1.5983116517857172
Chile,Aysén,110758,2024,28,2024.0,29.0,1.62,0.84,3.125953414502163,-2.285953414502163,2.285953414502163
Chile,Aysén,110758,2024,29,2024.0,30.0,0.84,2.8,1.7504714880952372,1.0495285119047626,1.0495285119047626
Chile,Magallanes,120128,2022,52,2023.0,1.0,0.0,0.0,0.0009362500000000002,-0.0009362500000000002,0.0009362500000000002
Chile,Magallanes,120128,2023,1,2023.0,2.0,0.0,0.0,0.00028000000000000003,-0.00028000000000000003,0.00028000000000000003
Chile,Magallanes,120128,2023,2,2023.0,3.0,0.0,0.0,0.00036250000000000003,-0.00036250000000000003,0.00036250000000000003
Chile,Magallanes,120128,2023,3,2023.0,4.0,0.0,0.0,0.0006281250000000002,-0.0006281250000000002,0.0006281250000000002
Chile,Magallanes,120128,2023,4,2023.0,5.0,0.0,0.0,0.0008568750000000004,-0.0008568750000000004,0.0008568750000000004
Chile,Magallanes,120128,2023,5,2023.0,6.0,0.0,0.06,0.0010489583333333336,0.05895104166666666,0.05895104166666666
Chile,Magallanes,120128,2023,6,2023.0,7.0,0.06,0.03,0.0555670982142857,-0.025567098214285704,0.025567098214285704
Chile,Magallanes,120128,2023,7,2023.0,8.0,0.03,0.16,0.054216233315295854,0.10578376668470416,0.10578376668470416
Chile,Magallanes,120128,2023,8,2023.0,9.0,0.16,0.08,0.15227576884920632,-0.07227576884920632,0.07227576884920632
Chile,Magallanes,120128,2023,9,2023.0,10.0,0.08,0.18,0.165803510551948,0.014196489448051991,0.014196489448051991
Chile,Magallanes,120128,2023,10,2023.0,11.0,0.18,0.18,0.2304950992063495,-0.05049509920634951,0.05049509920634951
Chile,Magallanes,120128,2023,11,2023.0,12.0,0.18,0.08,0.266540545634921,-0.186540545634921,0.186540545634921
Chile,Magallanes,120128,2023,12,2023.0,13.0,0.08,0.35,0.2885503224206349,0.06144967757936509,0.06144967757936509
Chile,Magallanes,120128,2023,13,2023.0,14.0,0.35,0.51,0.30218705853174616,0.20781294146825385,0.20781294146825385
Chile,Magallanes,120128,2023,14,2023.0,15.0,0.51,0.57,0.56486566017316,0.005134339826839973,0.005134339826839973
Chile,Magallanes,120128,2023,15,2023.0,16.0,0.57,0.65,0.8856202385461749,-0.23562023854617486,0.23562023854617486
Chile,Magallanes,120128,2023,16,2023.0,17.0,0.65,0.73,1.1376087058080806,-0.4076087058080806,0.4076087058080806
Chile,Magallanes,120128,2023,17,2023.0,18.0,0.73,0.67,1.1636706349206347,-0.4936706349206347,0.4936706349206347
Chile,Magallanes,120128,2023,18,2023.0,19.0,0.67,2.35,1.1305049057539684,1.2194950942460316,1.2194950942460316
Chile,Magallanes,120128,2023,19,2023.0,20.0,2.35,3.03,2.2994200099206354,0.7305799900793644,0.7305799900793644
Chile,Magallanes,120128,2023,20,2023.0,21.0,3.03,3.69,3.117219826388889,0.5727801736111111,0.5727801736111111
Chile,Magallanes,120128,2023,21,2023.0,22.0,3.69,4.050000000000001,4.1923049801587275,-0.14230498015872683,0.14230498015872683
Chile,Magallanes,120128,2023,22,2023.0,23.0,4.050000000000001,3.49,4.746501542658727,-1.256501542658727,1.256501542658727
Chile,Magallanes,120128,2023,23,2023.0,24.0,3.49,5.01,4.132964999999998,0.877035000000002,0.877035000000002
Chile,Magallanes,120128,2023,24,2023.0,25.0,5.01,7.949999999999999,5.859483487103169,2.09051651289683,2.09051651289683
Chile,Magallanes,120128,2023,25,2023.0,26.0,7.949999999999999,7.15,10.2679164831349,-3.1179164831349,3.1179164831349
Chile,Magallanes,120128,2023,26,2023.0,27.0,7.15,12.81,9.365940372023807,3.444059627976193,3.444059627976193
Chile,Magallanes,120128,2023,27,2023.0,28.0,12.81,3.55,11.745385029761898,-8.195385029761898,8.195385029761898
Chile,Magallanes,120128,2023,28,2023.0,29.0,3.55,2.1,7.596084161706354,-5.496084161706355,5.496084161706355
Chile,Magallanes,120128,2023,29,2023.0,30.0,2.1,7.25,5.500505939754691,1.7494940602453086,1.7494940602453086
Chile,Magallanes,120128,2023,30,2023.0,31.0,7.25,6.529999999999999,9.163979047619042,-2.633979047619043,2.633979047619043
Chile,Magallanes,120128,2023,31,2023.0,32.0,6.529999999999999,4.92,8.284320094246029,-3.364320094246029,3.364320094246029
Chile,Magallanes,120128,2023,32,2023.0,33.0,4.92,6.699999999999999,7.279321205357152,-0.5793212053571528,0.5793212053571528
Chile,Magallanes,120128,2023,33,2023.0,34.0,6.699999999999999,6.05,9.563041314484115,-3.5130413144841155,3.5130413144841155
