pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Magallanes,120128,2023,39,2023.0,40.0,1.29,0.5,3.975214651424969,-3.475214651424969,3.475214651424969
Chile,Magallanes,120128,2023,40,2023.0,41.0,0.5,0.68,2.2223514484127014,-1.5423514484127012,1.5423514484127012
Chile,Magallanes,120128,2023,41,2023.0,42.0,0.68,1.75,2.1760657093253974,-0.42606570932539745,0.42606570932539745
Chile,Magallanes,120128,2023,42,2023.0,43.0,1.75,3.13,2.3751587053571486,0.7548412946428513,0.7548412946428513
Chile,Magallanes,120128,2023,43,2023.0,44.0,3.13,2.45,3.197157126172442,-0.7471571261724419,0.7471571261724419
Chile,Magallanes,120128,2023,44,2023.0,45.0,2.45,2.85,2.9724312481962447,-0.12243124819624462,0.12243124819624462
Chile,Magallanes,120128,2023,45,2023.0,46.0,2.85,4.749999999999999,3.1593166567460313,1.5906833432539678,1.5906833432539678
Chile,Magallanes,120128,2023,46,2023.0,47.0,4.749999999999999,5.08,5.49074274666306,-0.4107427466630602,0.4107427466630602
Chile,Magallanes,120128,2023,47,2023.0,48.0,5.08,4.15,4.964553010912704,-0.8145530109127037,0.8145530109127037
Chile,Magallanes,120128,2023,48,2023.0,49.0,4.15,2.55,4.2789040228174695,-1.7289040228174697,1.7289040228174697
Chile,Magallanes,120128,2023,49,2023.0,50.0,2.55,1.28,3.5397752827380966,-2.2597752827380964,2.2597752827380964
Chile,Magallanes,120128,2023,50,2023.0,51.0,1.28,1.9,2.6932580059523787,-0.7932580059523788,0.7932580059523788
Chile,Magallanes,120128,2023,51,2023.0,52.0,1.9,8.5,2.7581700604256905,5.741829939574309,5.741829939574309
Chile,Magallanes,120128,2023,52,2024.0,1.0,8.5,18.0,6.212700545634918,11.787299454365083,11.787299454365083
Chile,Magallanes,120128,2024,1,2024.0,2.0,18.0,14.98,11.879383988095231,3.100616011904769,3.100616011904769
Chile,Magallanes,120128,2024,2,2024.0,3.0,14.98,15.28,11.174502306547621,4.105497693452378,4.105497693452378
Chile,Magallanes,120128,2024,3,2024.0,4.0,15.28,6.409999999999999,9.218762358856406,-2.8087623588564066,2.8087623588564066
Chile,Magallanes,120128,2024,4,2024.0,5.0,6.409999999999999,29.99,7.02084954139611,22.969150458603888,22.969150458603888
Chile,Magallanes,120128,2024,5,2024.0,6.0,29.99,7.31,13.15625771329363,-5.846257713293631,5.846257713293631
Chile,Magallanes,120128,2024,6,2024.0,7.0,7.31,7.78,7.7358498042929345,0.0441501957070658,0.0441501957070658
Chile,Magallanes,120128,2024,7,2024.0,8.0,7.78,7.5,7.654062867063493,-0.1540628670634927,0.1540628670634927
Chile,Magallanes,120128,2024,8,2024.0,9.0,7.5,7.32,7.914039126984131,-0.5940391269841303,0.5940391269841303
Chile,Magallanes,120128,2024,9,2024.0,10.0,7.32,11.75,7.354416125992068,4.395583874007932,4.395583874007932
Chile,Magallanes,120128,2024,10,2024.0,11.0,11.75,18.88,8.382923060515877,10.497076939484122,10.497076939484122
Chile,Magallanes,120128,2024,11,2024.0,12.0,18.88,13.93,10.460181269841264,3.4698187301587353,3.4698187301587353
Chile,Magallanes,120128,2024,12,2024.0,13.0,13.93,6.879999999999999,8.31783473710317,-1.4378347371031701,1.4378347371031701
Chile,Magallanes,120128,2024,13,2024.0,14.0,6.879999999999999,5.35,7.1120720882936554,-1.7620720882936558,1.7620720882936558
Chile,Magallanes,120128,2024,14,2024.0,15.0,5.35,8.45,6.804320615079373,1.6456793849206264,1.6456793849206264
Chile,Magallanes,120128,2024,15,2024.0,16.0,8.45,9.23,7.316858566468262,1.913141433531738,1.913141433531738
Chile,Magallanes,120128,2024,16,2024.0,17.0,9.23,12.14,7.899038120039681,4.240961879960319,4.240961879960319
