anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_c,temperatura_max_c,salinidad_min_psu,salinidad_max_psu,n_dias,archivo_origen,pais,region
2014,38,9.694,33.161,9.644,9.761,33.103,33.209,7,110758_Semanal_2014_2024,Chile,Aysén
2014,39,9.644,33.144,9.564,9.705,33.053,33.186,7,110758_Semanal_2014_2024,Chile,Aysén
2014,40,10.028,32.973,9.888,10.269,32.925,33.041,7,110758_Semanal_2014_2024,Chile,Aysén
2014,41,10.18,33.071,9.892,10.364,33.023,33.133,7,110758_Semanal_2014_2024,Chile,Aysén
2014,42,10.266,33.076,9.827,10.737,32.995,33.157,7,110758_Semanal_2014_2024,Chile,Aysén
2014,43,10.967,33.02,10.675,11.122,32.993,33.056,7,110758_Semanal_2014_2024,Chile,Aysén
2014,44,10.804,33.077,10.331,11.21,33.023,33.18,7,110758_Semanal_2014_2024,Chile,Aysén
2014,45,10.785,33.128,10.716,10.932,33.092,33.164,7,110758_Semanal_2014_2024,Chile,Aysén
2014,46,11.168,33.14,11.074,11.488,33.106,33.151,7,110758_Semanal_2014_2024,Chile,Aysén
2014,47,11.721,33.092,11.438,11.982,33.063,33.113,7,110758_Semanal_2014_2024,Chile,Aysén
2014,48,12.125,33.087,11.973,12.281,33.073,33.115,7,110758_Semanal_2014_2024,Chile,Aysén
2014,49,12.874,33.078,12.247,13.214,33.045,33.117,7,110758_Semanal_2014_2024,Chile,Aysén
2014,50,12.676,33.162,11.989,13.34,33.059,33.279,7,110758_Semanal_2014_2024,Chile,Aysén
2014,51,11.849,33.341,10.822,12.359,33.258,33.53,7,110758_Semanal_2014_2024,Chile,Aysén
2014,52,11.695,33.421,11.076,12.47,33.289,33.5,7,110758_Semanal_2014_2024,Chile,Aysén
2015,1,12.519,33.291,12.267,12.619,33.27,33.339,7,110758_Semanal_2014_2024,Chile,Aysén
2015,2,12.002,33.428,11.73,12.338,33.359,33.482,7,110758_Semanal_2014_2024,Chile,Aysén
2015,3,11.999,33.479,11.624,12.356,33.452,33.507,7,110758_Semanal_2014_2024,Chile,Aysén
2015,4,12.857,33.438,12.157,13.774,33.315,33.499,7,110758_Semanal_2014_2024,Chile,Aysén
2015,5,13.867,33.332,13.482,14.254,33.291,33.371,7,110758_Semanal_2014_2024,Chile,Aysén
2015,6,13.913,33.302,13.473,14.162,33.275,33.325,7,110758_Semanal_2014_2024,Chile,Aysén
2015,7,12.453,33.496,11.743,13.294,33.388,33.583,7,110758_Semanal_2014_2024,Chile,Aysén
2015,8,11.579,33.614,11.011,12.574,33.501,33.684,7,110758_Semanal_2014_2024,Chile,Aysén
2015,9,11.144,33.679,10.885,11.47,33.653,33.706,7,110758_Semanal_2014_2024,Chile,Aysén
2015,10,11.73,33.623,11.304,12.088,33.587,33.666,7,110758_Semanal_2014_2024,Chile,Aysén
2015,11,12.517,33.522,12.192,12.831,33.481,33.574,7,110758_Semanal_2014_2024,Chile,Aysén
2015,12,12.317,33.452,12.192,12.435,33.404,33.47,7,110758_Semanal_2014_2024,Chile,Aysén
2015,13,12.516,33.322,12.218,12.662,33.263,33.403,7,110758_Semanal_2014_2024,Chile,Aysén
2015,14,12.027,33.416,11.793,12.359,33.405,33.426,7,110758_Semanal_2014_2024,Chile,Aysén
2015,15,12.147,33.329,11.833,12.395,33.269,33.392,7,110758_Semanal_2014_2024,Chile,Aysén
2015,16,12.157,33.23,11.888,12.319,33.188,33.287,7,110758_Semanal_2014_2024,Chile,Aysén
2015,17,11.661,33.297,11.496,11.83,33.252,33.334,7,110758_Semanal_2014_2024,Chile,Aysén
2015,18,11.74,33.233,11.388,11.916,33.211,33.293,7,110758_Semanal_2014_2024,Chile,Aysén
2015,19,11.121,33.285,10.98,11.237,33.207,33.34,7,110758_Semanal_2014_2024,Chile,Aysén
2015,20,11.258,33.227,11.215,11.294,33.207,33.248,7,110758_Semanal_2014_2024,Chile,Aysén
2015,21,11.119,33.295,10.862,11.281,33.262,33.321,7,110758_Semanal_2014_2024,Chile,Aysén
2015,22,10.693,33.251,10.662,10.786,33.23,33.285,7,110758_Semanal_2014_2024,Chile,Aysén
2015,23,10.609,33.183,10.456,10.666,33.089,33.222,7,110758_Semanal_2014_2024,Chile,Aysén
2015,24,10.318,33.134,10.283,10.38,33.017,33.211,7,110758_Semanal_2014_2024,Chile,Aysén
2015,25,10.018,33.189,9.868,10.266,33.16,33.222,7,110758_Semanal_2014_2024,Chile,Aysén
2015,26,9.764,33.188,9.663,9.852,33.179,33.204,7,110758_Semanal_2014_2024,Chile,Aysén
2015,27,9.496,33.179,9.403,9.682,33.168,33.197,7,110758_Semanal_2014_2024,Chile,Aysén
2015,28,9.312,33.152,9.199,9.416,33.129,33.173,7,110758_Semanal_2014_2024,Chile,Aysén
2015,29,9.069,33.181,8.955,9.139,33.174,33.188,7,110758_Semanal_2014_2024,Chile,Aysén
2015,30,8.961,33.152,8.882,9.063,33.101,33.185,7,110758_Semanal_2014_2024,Chile,Aysén
2015,31,9.259,33.168,9.161,9.36,33.139,33.226,7,110758_Semanal_2014_2024,Chile,Aysén
2015,32,9.356,33.204,9.219,9.474,33.132,33.237,7,110758_Semanal_2014_2024,Chile,Aysén
2015,33,9.165,33.082,9.117,9.225,33.001,33.17,7,110758_Semanal_2014_2024,Chile,Aysén
2015,34,9.127,33.109,9.058,9.189,33.033,33.159,7,110758_Semanal_2014_2024,Chile,Aysén
2015,35,9.46,33.157,9.272,9.555,33.115,33.206,7,110758_Semanal_2014_2024,Chile,Aysén
2015,36,9.41,33.132,9.357,9.487,33.086,33.201,7,110758_Semanal_2014_2024,Chile,Aysén
2015,37,9.103,33.142,8.948,9.289,33.123,33.158,7,110758_Semanal_2014_2024,Chile,Aysén
2015,38,8.785,33.152,8.756,8.866,33.123,33.176,7,110758_Semanal_2014_2024,Chile,Aysén
2015,39,9.314,33.062,8.887,9.53,32.985,33.166,7,110758_Semanal_2014_2024,Chile,Aysén
2015,40,9.412,33.006,9.342,9.46,32.923,33.057,7,110758_Semanal_2014_2024,Chile,Aysén
2015,41,9.61,33.043,9.45,10.021,32.934,33.112,7,110758_Semanal_2014_2024,Chile,Aysén
2015,42,10.008,33.003,9.846,10.224,32.914,33.065,7,110758_Semanal_2014_2024,Chile,Aysén
2015,43,10.2,32.99,9.961,10.694,32.919,33.053,7,110758_Semanal_2014_2024,Chile,Aysén
2015,44,10.697,33.005,10.417,10.848,32.965,33.082,7,110758_Semanal_2014_2024,Chile,Aysén
2015,45,10.337,33.142,10.017,10.767,33.104,33.172,7,110758_Semanal_2014_2024,Chile,Aysén
2015,46,11.142,33.095,10.802,11.582,33.078,33.116,7,110758_Semanal_2014_2024,Chile,Aysén
2015,47,11.495,33.1,11.187,11.923,33.057,33.137,7,110758_Semanal_2014_2024,Chile,Aysén
2015,48,12.601,33.009,12.223,13.42,32.928,33.051,7,110758_Semanal_2014_2024,Chile,Aysén
2015,49,13.186,32.938,12.783,13.399,32.892,32.98,7,110758_Semanal_2014_2024,Chile,Aysén
2015,50,12.275,33.11,11.665,13.332,32.985,33.186,7,110758_Semanal_2014_2024,Chile,Aysén
2015,51,12.041,33.18,11.835,12.384,33.156,33.209,7,110758_Semanal_2014_2024,Chile,Aysén
2015,52,12.554,33.164,12.236,13.098,33.099,33.22,7,110758_Semanal_2014_2024,Chile,Aysén
2015,53,14.388,33.027,13.285,15.184,32.905,33.094,7,110758_Semanal_2014_2024,Chile,Aysén
2016,1,13.231,33.15,11.947,14.78,32.982,33.372,7,110758_Semanal_2014_2024,Chile,Aysén
2016,2,13.072,33.313,11.845,14.132,33.24,33.415,7,110758_Semanal_2014_2024,Chile,Aysén
2016,3,15.231,33.138,14.702,15.676,33.09,33.242,7,110758_Semanal_2014_2024,Chile,Aysén
2016,4,15.332,33.148,14.574,16.119,33.039,33.252,7,110758_Semanal_2014_2024,Chile,Aysén
2016,5,15.355,33.092,14.194,16.676,32.951,33.207,7,110758_Semanal_2014_2024,Chile,Aysén
2016,6,14.162,33.282,13.859,14.472,33.222,33.34,7,110758_Semanal_2014_2024,Chile,Aysén
2016,7,13.767,33.359,13.599,14.045,33.303,33.4,7,110758_Semanal_2014_2024,Chile,Aysén
2016,8,13.821,33.379,13.548,14.1,33.353,33.403,7,110758_Semanal_2014_2024,Chile,Aysén
2016,9,14.087,33.259,13.467,14.719,33.149,33.338,7,110758_Semanal_2014_2024,Chile,Aysén
2016,10,12.562,33.436,11.889,13.275,33.325,33.522,7,110758_Semanal_2014_2024,Chile,Aysén
2016,11,12.145,33.467,11.817,12.563,33.382,33.507,7,110758_Semanal_2014_2024,Chile,Aysén
2016,12,11.952,33.495,11.664,12.209,33.43,33.562,7,110758_Semanal_2014_2024,Chile,Aysén
2016,13,12.637,33.342,12.281,12.872,33.257,33.437,7,110758_Semanal_2014_2024,Chile,Aysén
2016,14,12.346,33.25,11.853,12.567,33.201,33.304,7,110758_Semanal_2014_2024,Chile,Aysén
2016,15,11.757,33.289,11.225,12.006,33.217,33.383,7,110758_Semanal_2014_2024,Chile,Aysén
2016,16,10.961,33.309,10.831,11.101,33.259,33.367,7,110758_Semanal_2014_2024,Chile,Aysén
2016,17,10.791,33.12,10.726,10.836,33.042,33.222,7,110758_Semanal_2014_2024,Chile,Aysén
2016,18,10.782,32.867,10.729,10.939,32.674,33.023,7,110758_Semanal_2014_2024,Chile,Aysén
2016,19,10.847,32.691,10.825,10.871,32.638,32.717,7,110758_Semanal_2014_2024,Chile,Aysén
2016,20,10.617,32.633,10.319,10.838,32.583,32.677,7,110758_Semanal_2014_2024,Chile,Aysén
2016,21,10.103,32.72,10.064,10.19,32.635,32.867,7,110758_Semanal_2014_2024,Chile,Aysén
2016,22,9.909,32.781,9.765,10.064,32.756,32.81,7,110758_Semanal_2014_2024,Chile,Aysén
2016,23,9.676,32.947,9.572,9.855,32.922,33.003,7,110758_Semanal_2014_2024,Chile,Aysén
2016,24,9.592,32.953,9.469,9.678,32.932,32.979,7,110758_Semanal_2014_2024,Chile,Aysén
2016,25,9.402,32.937,9.342,9.467,32.901,32.957,7,110758_Semanal_2014_2024,Chile,Aysén
2016,26,9.235,32.929,9.062,9.38,32.877,32.952,7,110758_Semanal_2014_2024,Chile,Aysén
2016,27,9.247,32.911,9.106,9.343,32.882,32.941,7,110758_Semanal_2014_2024,Chile,Aysén
2016,28,9.263,32.838,9.221,9.35,32.735,32.918,7,110758_Semanal_2014_2024,Chile,Aysén
2016,29,9.32,32.986,9.16,9.428,32.894,33.041,7,110758_Semanal_2014_2024,Chile,Aysén
2016,30,9.201,32.9,9.095,9.306,32.815,32.986,7,110758_Semanal_2014_2024,Chile,Aysén
2016,31,9.389,32.967,9.32,9.454,32.918,33.019,7,110758_Semanal_2014_2024,Chile,Aysén
2016,32,9.489,33.0,9.383,9.559,32.942,33.03,7,110758_Semanal_2014_2024,Chile,Aysén
2016,33,9.285,32.877,9.222,9.373,32.825,32.901,7,110758_Semanal_2014_2024,Chile,Aysén
2016,34,9.4,32.913,9.337,9.456,32.893,32.948,7,110758_Semanal_2014_2024,Chile,Aysén
2016,35,9.537,32.993,9.451,9.649,32.899,33.05,7,110758_Semanal_2014_2024,Chile,Aysén
2016,36,9.69,32.927,9.666,9.73,32.879,32.971,7,110758_Semanal_2014_2024,Chile,Aysén
2016,37,9.834,32.848,9.756,10.092,32.8,32.891,7,110758_Semanal_2014_2024,Chile,Aysén
2016,38,10.158,32.838,10.028,10.387,32.762,32.877,7,110758_Semanal_2014_2024,Chile,Aysén
2016,39,10.484,32.769,10.285,10.679,32.711,32.822,7,110758_Semanal_2014_2024,Chile,Aysén
2016,40,10.677,32.813,10.589,10.769,32.758,32.85,7,110758_Semanal_2014_2024,Chile,Aysén
2016,41,10.414,32.842,10.357,10.531,32.818,32.862,7,110758_Semanal_2014_2024,Chile,Aysén
2016,42,11.197,32.658,10.458,12.007,32.574,32.774,7,110758_Semanal_2014_2024,Chile,Aysén
2016,43,12.112,32.587,11.987,12.313,32.517,32.621,7,110758_Semanal_2014_2024,Chile,Aysén
2016,44,11.565,32.69,11.488,11.825,32.65,32.722,7,110758_Semanal_2014_2024,Chile,Aysén
2016,45,11.459,32.737,11.254,11.657,32.695,32.783,7,110758_Semanal_2014_2024,Chile,Aysén
2016,46,11.316,32.841,11.038,11.548,32.771,32.896,7,110758_Semanal_2014_2024,Chile,Aysén
2016,47,12.766,32.732,11.704,13.547,32.526,32.884,7,110758_Semanal_2014_2024,Chile,Aysén
2016,48,13.553,32.688,13.291,13.752,32.654,32.725,7,110758_Semanal_2014_2024,Chile,Aysén
2016,49,13.813,32.589,13.305,14.098,32.516,32.721,7,110758_Semanal_2014_2024,Chile,Aysén
2016,50,12.682,32.839,12.142,13.148,32.79,32.928,7,110758_Semanal_2014_2024,Chile,Aysén
2016,51,13.31,32.803,13.146,13.492,32.781,32.833,7,110758_Semanal_2014_2024,Chile,Aysén
2016,52,13.714,32.763,13.312,14.058,32.673,32.827,7,110758_Semanal_2014_2024,Chile,Aysén
2017,1,13.649,32.811,13.297,14.015,32.753,32.879,7,110758_Semanal_2014_2024,Chile,Aysén
